	Protein.Accession	ARO.Accession	Model.Name	ARO.Name	AMR.Gene.Family	Drug.Class	Resistance.Mechanism
1	AAA03550.1	ARO:3002523	AAC(2)-Ia	AAC(2)-Ia	AAC(2)	aminoglycoside antibiotic	antibiotic inactivation
2	AAA16194.1	ARO:3002540	AAC(3)-VIa	AAC(3)-VIa	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
3	AAA16529.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
4	AAA19882.1	ARO:3003562	blaF	blaF	blaF family beta-lactamase	penam	antibiotic inactivation
5	AAA20116.1	ARO:3000180	tetA(P)	tetA(P)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
6	AAA20117.1	ARO:3000195	tetB(P)	tetB(P)	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
7	AAA21532.1	ARO:3003559	cepA beta-lactamase	cepA	cepA beta-lactamase	cephalosporin	antibiotic inactivation
8	AAA21889.1	ARO:3002554	AAC(6)-Ig	AAC(6)-Ig	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
9	AAA22081.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
10	AAA22277.1	ARO:3003007	bmr	bmr	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;nucleoside antibiotic;acridine dye;phenicol antibiotic	antibiotic efflux
11	AAA22289.1	ARO:3002672	cat86	cat86	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
12	AAA22562.1	ARO:3002878	BcII	BcII	Bc beta-lactamase	cephalosporin;penam	antibiotic inactivation
13	AAA22597.1	ARO:3000495	ErmD	ErmD	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration
14	AAA22851.1	ARO:3000179	tet(L)	tet(L)	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
15	AAA22904.1	ARO:3000578	CcrA beta-lactamase	CcrA	CcrA beta-lactamase	carbapenem	antibiotic inactivation
16	AAA23018.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
17	AAA23033.2	ARO:3000190	tetO	tetO	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
18	AAA23215.1	ARO:3002687	catQ	catQ	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
19	AAA24786.1	ARO:3000368	vanC	vanC	glycopeptide resistance gene cluster;van ligase	glycopeptide antibiotic	antibiotic target alteration
20	AAA25293.1	ARO:3000192	tetS	tetS	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
21	AAA25334.1	ARO:3002543	AAC(3)-IXa	AAC(3)-IXa	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
22	AAA25550.1	ARO:3003105	dfrA3	dfrA3	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
23	AAA25655.1	ARO:3002670	cat	cat	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
24	AAA25680.1	ARO:3002595	AAC(6)-IIb	AAC(6)-IIb	AAC(6)	aminoglycoside antibiotic	antibiotic inactivation
25	AAA25683.1	ARO:3002538	AAC(3)-IIIc	AAC(3)-IIIc	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
26	AAA25717.1	ARO:3002624	ANT(4)-IIa	ANT(4)-IIa	ANT(4)	aminoglycoside antibiotic	antibiotic inactivation
